Job Title,Company Name,Location,Contract Type,Job Type,Published Days,Salary Range,Verified Status
Geospatial Data Scientist with expertise in remote sensing,GAF AG,München,Temporary contract,"Full Time, Home office possible",Published: 1 week ago,-1,-1
Data Scientist (m/f/d),Liebherr-Digital Development Center GmbH,Ulm,Permanent contract,Full Time,Published: 1 week ago,50.000€ - 69.000€/year (full-time estimate),-1
Data Scientist (m/f/d),Lloyds Bank – Bank of Scotland,Berlin,Permanent contract,"Full Time, Home office possible, Part time",Published: 2 weeks ago,57.000€ - 78.000€/year (full-time estimate),Verified
Senior Data Scientist,Coinbase Germany GmbH,"Berlin, Germany",Permanent contract,Full Time,Published: 14 hours ago,43.000€ - 67.000€/year (full-time estimate),-1
Lead Data Scientist (f/m/d) AI and Forecasting,BMG RIGHTS MANAGEMENT GmbH - Corporate,Berlin,Permanent contract,"Full Time, Home office possible",Published: 4 hours ago,56.000€ - 76.000€/year (full-time estimate),-1
Data Scientist - Category Management und Pricing (m/w/d),Kaufland,Heilbronn,Permanent contract,"Full Time, Home office possible",Published: 1 day ago,61.000€ - 88.000€/year (full-time estimate),Verified
"Data Scientist (m/w/d) – Schwerpunkt Mathematik, Statistik & Naturwissenschaften",ISBA Informatik Service-GmbH,Hamburg,Permanent contract,"Full Time, Home office possible, Part time",Published: 1 day ago,3.700€ - 4.700€/month (full-time estimate),Verified
Data Engineer / Data Scientist (m/w/d) Remote / NRW,PAKi Logistics GmbH,Ennepetal,Permanent contract,"Full Time, Home office possible",Published: 1 day ago,43.000€ - 64.000€/year (full-time estimate),-1
Data Scientist (m/w/d) / Analyst Consultant (m/w/d),Rottendorf Pharma GmbH,Ennigerloh,Permanent contract,"Full Time, Home office possible",Published: 5 days ago,59.000€ - 83.000€/year (full-time estimate),Verified
Data Scientist (m/w/d) - Kunden & Vertrieb (befristet auf 1 Jahr),Wüstenrot & Württembergische AG,Kornwestheim,Temporary contract,"Full Time, Home office possible, Part time",Published: 2 days ago,-1,-1
Data Scientist (m/w/d) – Datenanalyse für Risikobewertung und Reporting,Sparkassen Rating und Risikosysteme GmbH,Berlin,Permanent contract,"Full Time, Home office possible",Published: 3 days ago,53.000€ - 72.000€/year (full-time estimate),-1
Data Scientist (m/w/d) für unser Controlling,DAMPSOFT GmbH,Damp,Permanent contract,Full Time,Published: 3 days ago,56.000€ - 71.000€/year (full-time estimate),Verified
Prompt Engineer / Data Scientist (m/w/d),LORENZ Life Sciences Group,Frankfurt am Main,Permanent contract,"Full Time, Home office possible",Published: 3 days ago,4.100€ - 6.500€/month (full-time estimate),-1
Data Scientist (m/w/d) zur Auswertung und Analyse von komplexen Messdaten,Rosenxt Group,Lingen (Ems),Permanent contract,"Full Time, Home office possible",Published: 1 week ago,57.000€ - 74.000€/year (full-time estimate),-1
Data Scientist Marketing (m/w/d),Dr. Ausbüttel & Co. GmbH,Dortmund,Permanent contract,Full Time,Published: 1 week ago,55.000€ - 73.000€/year (full-time estimate),Verified
Physiker (m/w/d) als Data Scientist / Algorithmenentwickler im Bereich EMAT,Rosen Technology & Research Center GmbH,"Lingen, Osnabrück",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,51.000€ - 69.000€/year (full-time estimate),-1
Physiker (m/w/d) als Data Scientist / Algorithmenentwickler im Bereich Wirbelstrom,Rosen Technology & Research Center GmbH,"Lingen, Osnabrück",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,51.000€ - 69.000€/year (full-time estimate),-1
Data Scientist mit Schwerpunkt Engineering (m/w/d),Ypsomed Produktion GmbH,Schwerin,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,38.150€ - 69.800€/year (full-time estimate),-1
Data Scientist (m/w/d) - Customer and Sales,Wüstenrot & Württembergische AG,Kornwestheim,Permanent contract,"Full Time, Home office possible, Part time",Published: 1 week ago,54.000€ - 79.000€/year (full-time estimate),-1
Data Scientist (m/w/d),RP Digital GmbH,Düsseldorf,Permanent contract,"Full Time, Home office possible, Part time",Published: 1 week ago,47.000€ - 65.000€/year (full-time estimate),-1
Data Scientist (m/w/d),nobilia-Werke J. Stickling GmbH & Co. KG,Verl,Permanent contract,Full Time,Published: 1 week ago,51.000€ - 77.000€/year (full-time estimate),-1
Data Scientist (w/m/d),Karlsruher Institut für Technologie (KIT),Karlsruhe,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,57.700€ - 82.000€/year (full-time estimate),-1
Data Scientist (m/w/d),NOWEDA Apothekergenossenschaft eG,Essen,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,51.000€ - 70.000€/year (full-time estimate),-1
Produktionscontroller / Data Analyst / Data Scientist m/w/d,JACKON Insulation GmbH,"Arendsee (Altmark), Mechau, Steinhagen",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,43.000€ - 79.000€/year (full-time estimate),Verified
Data Scientist (m/w/d) Schwerpunkt KI,PreZero Service Deutschland GmbH & Co. KG,Wesseling,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,66.000€ - 88.000€/year (full-time estimate),Verified
Data Scientist (m/w/d) im Finanzbereich (Document Understanding),BMS Corporate Solutions GmbH,"Düsseldorf, Home-Office",Permanent contract,Full Time,Published: 1 week ago,50.000€ - 71.000€/year (full-time estimate),-1
Data Scientist AI Lab (gn) Vollzeit/Teilzeit,DKV Mobility Group SE,Ratingen,Permanent contract,"Full Time, Home office possible, Part time",Published: 1 week ago,55.000€ - 75.000€/year (full-time estimate),-1
Data Scientist Versicherungsmathematik / Aktuar (m/w/d),ARAG SE,Düsseldorf,Permanent contract,"Full Time, Home office possible",Published: 2 weeks ago,67.000€ - 89.000€/year (full-time estimate),Verified
(Senior) Data Scientist (gn) with Spanish language skills,Control Expert GmbH,Düsseldorf,Permanent contract,"Full Time, Home office possible",Published: 2 hours ago,59.000€ - 89.000€/year (full-time estimate),Verified
Data Scientist KI & LLM (m/w/d),Allgeier IT GmbH,Hamburg,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,58.000€ - 77.000€/year (full-time estimate),-1
Senior Data Scientist / Data Engineer Capital Markets m/w/d,DZ BANK AG,Frankfurt am Main,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,63.000€ - 99.000€/year (full-time estimate),-1
Data Scientist / AI Developer (m/w/d),BRUNO BADER GmbH + Co. KG,Pforzheim,Permanent contract,"Full Time, Home office possible",Published: 2 days ago,52.000€ - 72.000€/year (full-time estimate),Verified
Lead Data Scientist (m/w/d),AP Sensing GmbH,Böblingen bei Stuttgart,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,58.000€ - 79.000€/year (full-time estimate),Verified
Senior Data Scientist / Senior AI Engineer (mwd),HMS Analytical Software GmbH,Berlin,Permanent contract,"Full Time, Home office possible, Part time",Published: 2 weeks ago,55.000€ - 83.000€/year (full-time estimate),-1
"Data Engineers, Analysts & Scientists (w|m|d)",BridgingIT GmbH,"Hamburg, Köln, Mannheim, München, Nürnberg, Stuttgart",Permanent contract,"Full Time, Home office possible, Part time",Published: 2 weeks ago,57.000€ - 83.000€/year (full-time estimate),Verified
Data Scientist (m/w/d) - Data Analytics Expert,Ratbacher GmbH,Bielefeld,Permanent contract,"Full Time, Home office possible",Published: 6 days ago,59.000€ - 77.000€/year (full-time estimate),Verified
AI-/KI-Developer & Data Scientist (m/w/d),NEW AG,Mönchengladbach,Permanent contract,"Full Time, Home office possible",Published: 1 week ago,56.000€ - 76.000€/year (full-time estimate),-1
Principal Data Scientist | Pricing,OLX Group GmbH,"Berlin, Germany",Permanent contract,"Full Time, Home office possible",Published: 1 day ago,43.000€ - 63.000€/year (full-time estimate),-1
Data Scientist / Machine Learning Engineer (m/w/d) Mobilfunk,CHECK24,Köln,Permanent contract,"Full Time, Home office possible",Published: 4 weeks ago,62.000€ - 85.000€/year (full-time estimate),Verified
Full-time Data Scientist,Exaloan AG,"Frankfurt, Germany",Permanent contract,Full Time,Published: 4 days ago,44.000€ - 68.000€/year (full-time estimate),-1
"Data Scientist (m/f/d) job at PAUL Tech AG in Mannheim, BADEN-WüRTTEMBERG",PAUL Tech AG,"68 Mannheim, Germany",Permanent contract,Full Time,Published: 4 days ago,44.000€ - 67.000€/year (full-time estimate),-1
Data Scientist / Data Engineer (m/w/d),Amadeus Fire AG,"Frankfurt, Hamburg, Köln, Düsseldorf",Permanent contract,"Full Time, Home office possible",Published: 1 week ago,58.000€ - 73.000€/year (full-time estimate),-1
Hybrid Student Data Scientist (m/f/d) na RELX,ICIS,"Karlsruhe, Germany","Student job, Industrial placement student",Part time,Published: 4 days ago,-1,-1
